Kelp,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.34188382086
SAR,1507.35473333333
Stramenopiles,573.0044247474709
PX clade,314.33333333332996
Phaeophyceae,150.95926772893398
Laminariales,70.02834933332997
