Bacillus anthracis (Anthrax),mya
cellular organisms,4250.0
Bacteria,3306.2838800000004
Firmicutes,2716.1005000000005
Bacilli,2116.6393333333303
Bacillales,1765.3364833333303
Bacillaceae,1503.3333333333303
Bacillus,1248.6959896161602
Bacillus cereus group,163.8033423333303
Bacillus anthracis,3.3333333333303017
