E. coli,mya
cellular organisms,4250.0
Bacteria,3306.2838800000004
Proteobacteria,2581.6761111111105
Gammaproteobacteria,1619.0579393939404
Enterobacteriaceae,391.7476190476163
Escherichia,197.5404761904733
Escherichia coli,3.3333333333303017
