Rickettsia prowazekii (Epidemic typhus),mya
cellular organisms,4250.0
Bacteria,3306.2838800000004
Proteobacteria,2581.6761111111105
Alphaproteobacteria,1767.9638888888903
Rickettsiales,1623.4333333333302
Rickettsieae,1010.8916666666603
Rickettsia,253.3333333333303
typhus group,128.3333333333303
Rickettsia prowazekii,3.3333333333303017
