Narwhal,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208604
Opisthokonta,1305.8335179487103
Holozoa,994.1680333333302
563254,939.3333333333302
Metazoa,939.3333333333302
Eumetazoa,939.3333333333302
564202,939.3333333333302
Bilateria,850.3327392156832
Deuterostomia,730.3111111111082
Chordata,736.3333333333302
Vertebrata (1993220),634.6544213333302
Gnathostomata,486.2277668133303
Euteleostomi,432.9552881287853
Sarcopterygii,415.1914372509773
Dipnotetrapodomorpha,415.1914372509773
Tetrapoda,359.07544516969426
Amniota,323.8571566666633
Mammalia,182.5263958333303
Theria (2026074),166.9987683333303
Eutheria (2026898),108.34299128204832
Boreoeutheria,100.78521379084671
Laurasiatheria,92.7654416666636
2034426,85.2091476190446
2034427,81.725849999997
Cetartiodactyla,68.143058749997
2036554,66.83969999999701
2036555,59.657359259256204
2036556,57.1784439784916
Cetacea,36.8333333333303
Odontoceti,36.8333333333303
2036669,36.1339608333303
2036775,28.7681539215656
2036802,21.7698132156832
2036803,17.837883333330304
Monodontidae,10.572440833330301
Monodon,6.952887083330301
Monodon monoceros,3.3333333333303017
