Toxoplasma gondii (Toxoplasmosis),mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208602
SAR,1507.3547333333302
2118540,1472.9759333333302
Alveolata,1099.3861000000002
Apicomplexa,792.3333333333303
Conoidasida,562.9388888888864
Eucoccidiorida,491.5270833333303
Eimeriorina,792.3333333333303
Sarcocystidae,59.3333333333303
Toxoplasma gondii,3.3333333333303017
