Baker's yeast,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208597
Opisthokonta,1305.8335179487096
Nucletmycea,1099.1970262015896
Fungi,1032.8501294217594
Dikarya,799.9290606060564
Ascomycota,767.3284833333294
saccharomyceta,767.3284833333294
Saccharomycotina,554.0356378643544
Saccharomycetales,506.23161051947636
Saccharomycetaceae,153.17990555555141
Saccharomyces,17.633333333329393
Saccharomyces cerevisiae,3.333333333329392
