Cultivated mushroom,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.34188382086
Opisthokonta,1305.8335179487099
Nucletmycea,1099.1970262015898
Fungi,1032.8501294217597
Dikarya,799.9290606060566
Basidiomycota,532.8546719576676
Agaricomycotina,327.9485833333296
Agaricomycetes,241.32703940475864
Agaricomycetidae,249.33333333332965
523904,249.33333333332965
Agaricales,180.54509167325065
Agaricaceae,91.75063611110745
Agaricus,29.07256383265485
