"ky before 2015","T anomaly"
7.775,0.38
7.795,0.37
7.815,0.37
7.835,0.36
7.855,0.36
7.875,0.36
7.895,0.36
7.915,0.36
7.935,0.35
7.955,0.35
7.975,0.36
7.995,0.36
8.015,0.36
8.035,0.37
8.055,0.37
8.075,0.37
8.095,0.38
8.115,0.38
8.135,0.38
8.155,0.37
8.175,0.37
8.195,0.36
8.215,0.36
8.235,0.36
8.255,0.36
8.275,0.36
8.295,0.35
8.315,0.34
8.335,0.34
8.355,0.33
8.375,0.33
8.395,0.33
8.415,0.33
8.435,0.33
8.455,0.33
8.475,0.33
8.495,0.33
8.515,0.33
8.535,0.33
8.555,0.33
8.575,0.33
8.595,0.34
8.615,0.35
8.635,0.36
8.655,0.37
8.675,0.38
8.695,0.39
8.715,0.40
8.735,0.40
8.755,0.41
8.775,0.41
8.795,0.41
8.815,0.41
8.835,0.41
8.855,0.41
8.875,0.41
8.895,0.41
8.915,0.41
8.935,0.41
8.955,0.41
8.975,0.40
8.995,0.40
9.015,0.40
9.035,0.40
9.055,0.39
9.075,0.39
9.095,0.39
9.115,0.38
9.135,0.38
9.155,0.38
9.175,0.38
9.195,0.38
9.215,0.38
9.235,0.38
9.255,0.37
9.275,0.37
9.295,0.37
9.315,0.37
9.335,0.37
9.355,0.36
9.375,0.36
9.395,0.36
9.415,0.36
9.435,0.36
9.455,0.37
9.475,0.37
9.495,0.37
9.515,0.37
9.535,0.38
9.555,0.38
9.575,0.38
9.595,0.38
9.615,0.38
9.635,0.38
9.655,0.38
9.675,0.38
9.695,0.38
9.715,0.37
9.735,0.37
9.755,0.36
9.775,0.36
9.795,0.35
9.815,0.34
9.835,0.34
9.855,0.33
9.875,0.32
9.895,0.31
9.915,0.31
9.935,0.31
9.955,0.31
9.975,0.30
9.995,0.29
10.015,0.29
10.035,0.28
10.055,0.27
10.075,0.27
10.095,0.26
10.115,0.25
10.135,0.25
10.155,0.25
10.175,0.24
10.195,0.24
10.215,0.24
10.235,0.23
10.255,0.23
10.275,0.23
10.295,0.23
10.315,0.22
10.335,0.22
10.355,0.21
10.375,0.21
10.395,0.20
10.415,0.20
10.435,0.20
10.455,0.20
10.475,0.20
10.495,0.20
10.515,0.20
10.535,0.20
10.555,0.19
10.575,0.18
10.595,0.17
10.615,0.16
10.635,0.14
10.655,0.12
10.675,0.11
10.695,0.09
10.715,0.08
10.735,0.07
10.755,0.05
10.775,0.04
10.795,0.02
10.815,0.01
10.835,0.00
10.855,-0.02
10.875,-0.03
10.895,-0.03
10.915,-0.03
10.935,-0.04
10.955,-0.05
10.975,-0.05
10.995,-0.06
11.015,-0.07
11.035,-0.08
11.055,-0.08
11.075,-0.08
11.095,-0.09
11.115,-0.09
11.135,-0.10
11.155,-0.11
11.175,-0.12
11.195,-0.12
11.215,-0.13
11.235,-0.13
11.255,-0.14
11.275,-0.15
11.295,-0.17
11.315,-0.18
11.335,-0.20
11.355,-0.22
