"ky before 2015","T anomaly"
9.765,0.03
9.815,0.03
9.815,0.15
9.865,0.15
9.865,0.04
9.915,0.04
9.915,0.19
9.965,0.19
9.965,-0.07
10.015,-0.07
10.015,-0.04
10.065,-0.04
10.065,-0.04
10.115,-0.04
10.115,-0.14
10.165,-0.14
10.165,-0.81
10.215,-0.81
10.215,-0.4
10.265,-0.4
10.265,-0.74
10.315,-0.74
10.315,-0.77
10.365,-0.77
10.365,-0.67
10.415,-0.67
10.415,-0.38
10.465,-0.38
10.465,-0.53
10.515,-0.53
10.515,-0.83
10.565,-0.83
10.565,-0.32
10.615,-0.32
10.615,-0.73
10.665,-0.73
10.665,-0.84
10.715,-0.84
10.715,-1.01
10.765,-1.01
10.765,-1.62
10.815,-1.62
10.815,-1.52
10.865,-1.52
10.865,-1.34
10.915,-1.34
10.915,-1.13
10.965,-1.13
10.965,-1.19
11.015,-1.19
11.015,-1.15
11.065,-1.15
11.065,-1.71
11.115,-1.71
11.115,-0.99
11.165,-0.99
11.165,-1.32
11.215,-1.32
11.215,-1.68
11.265,-1.68
11.265,-2.08
11.315,-2.08
11.315,-2.12
11.365,-2.12
11.365,-1.45
11.415,-1.45
11.415,-1.18
11.465,-1.18
11.465,-1.13
11.515,-1.13
11.515,-2.84
11.565,-2.84
11.565,-3.75
11.615,-3.75
11.615,-3.75
11.665,-3.75
11.665,-3.37
11.715,-3.37
11.715,-4.22
11.765,-4.22
11.765,-4.37
11.815,-4.37
11.815,-3.9
11.865,-3.9
11.865,-3.55
11.915,-3.55
11.915,-4.5
11.965,-4.5
11.965,-4.62
12.015,-4.62
12.015,-4.06
12.065,-4.06
12.065,-3.88
12.115,-3.88
12.115,-4.16
12.165,-4.16
12.165,-4.61
12.215,-4.61
12.215,-4.31
12.265,-4.31
12.265,-4.38
12.315,-4.38
12.315,-3.99
12.365,-3.99
12.365,-4.2
12.415,-4.2
12.415,-4.84
12.465,-4.84
12.465,-4.42
12.515,-4.42
12.515,-5.24
12.565,-5.24
12.565,-4.23
12.615,-4.23
12.615,-3.72
12.665,-3.72
12.665,-3.24
12.715,-3.24
12.715,-2.87
12.765,-2.87
12.765,-2.66
12.815,-2.66
12.815,-3.13
12.865,-3.13
12.865,-3.5
12.915,-3.5
12.915,-3.64
12.965,-3.64
12.965,-4.39
13.015,-4.39
13.015,-3.63
13.065,-3.63
13.065,-3.74
13.115,-3.74
13.115,-2.9
13.165,-2.9
13.165,-2.99
13.215,-2.99
13.215,-2.52
13.265,-2.52
13.265,-2.43
13.315,-2.43
13.315,-2.55
13.365,-2.55
13.365,-2.1
13.415,-2.1
13.415,-2.49
13.465,-2.49
13.465,-3.03
13.515,-3.03
13.515,-3.42
13.565,-3.42
13.565,-2.65
13.615,-2.65
13.615,-2.28
13.665,-2.28
13.665,-2.9
13.715,-2.9
13.715,-2.38
13.765,-2.38
13.765,-2.16
13.815,-2.16
13.815,-2.39
13.865,-2.39
13.865,-3.19
13.915,-3.19
13.915,-3.67
13.965,-3.67
13.965,-3.37
14.015,-3.37
14.015,-2.28
14.065,-2.28
14.065,-2.2
14.115,-2.2
14.115,-2.01
14.165,-2.01
14.165,-1.79
14.215,-1.79
14.215,-1.51
14.265,-1.51
14.265,-1.48
14.315,-1.48
14.315,-1.31
14.365,-1.31
14.365,-1.57
14.415,-1.57
14.415,-0.8
14.465,-0.8
14.465,-0.79
14.515,-0.79
14.515,-0.9
14.565,-0.9
14.565,-1.7
14.615,-1.7
14.615,-3.63
14.665,-3.63
14.665,-4.9
14.715,-4.9
14.715,-4.02
14.765,-4.02
14.765,-4.78
14.815,-4.78
14.815,-4.43
14.865,-4.43
14.865,-4.75
14.915,-4.75
14.915,-5.31
14.965,-5.31
14.965,-5.1
15.015,-5.1
15.015,-5.13
15.065,-5.13
15.065,-5.09
15.115,-5.09
15.115,-5.25
15.165,-5.25
15.165,-5.49
15.215,-5.49
15.215,-4.17
15.265,-4.17
15.265,-5.37
15.315,-5.37
15.315,-5.08
15.365,-5.08
15.365,-5.49
15.415,-5.49
15.415,-6.19
15.465,-6.19
15.465,-5.65
15.515,-5.65
15.515,-5.04
15.565,-5.04
15.565,-6.3
15.615,-6.3
15.615,-6.04
15.665,-6.04
15.665,-4.64
15.715,-4.64
15.715,-5.02
15.765,-5.02
15.765,-4.85
15.815,-4.85
15.815,-4.99
15.865,-4.99
15.865,-4.73
15.915,-4.73
15.915,-6.25
