"н.э.","T anomaly"
205,-0.2118
206,-0.1384
207,-0.1933
208,-0.2693
209,-0.1053
210,-0.1289
211,-0.1575
212,-0.1397
213,-0.1578
214,-0.2369
215,-0.2364
216,-0.2057
217,-0.1608
218,-0.2225
219,-0.208
220,-0.2375
221,-0.2671
222,-0.187
223,-0.185
224,-0.1572
225,-0.1339
226,-0.168
227,-0.1588
228,-0.2631
229,-0.1609
230,-0.2513
231,-0.1922
232,-0.1911
233,-0.1867
234,-0.2288
235,-0.1927
236,-0.1904
237,-0.1653
238,-0.1326
239,-0.0648
240,-0.166
241,-0.0989
242,-0.085
243,-0.1174
244,-0.0279
245,-0.0324
246,-0.04
247,-0.0326
248,-0.0855
249,-0.056
250,0.0152
251,-0.173
252,-0.0428
253,-0.1242
254,-0.1419
255,-0.1439
256,-0.1675
257,-0.2247
258,-0.2163
259,-0.2099
260,-0.3165
261,-0.2498
262,-0.2208
263,-0.2269
264,-0.1909
265,-0.2756
266,-0.218
267,-0.2383
268,-0.2127
269,-0.1727
270,-0.1774
271,-0.2708
272,-0.2304
273,-0.209
274,-0.3029
275,-0.251
276,-0.2256
277,-0.2095
278,-0.167
279,-0.1873
280,-0.2167
281,-0.207
282,-0.0706
283,-0.1466
284,-0.081
285,-0.1509
286,-0.122
287,-0.2115
288,-0.1441
289,-0.1803
290,-0.2499
291,-0.1908
292,-0.1154
293,-0.2424
294,-0.255
295,-0.2017
296,-0.1697
297,-0.1162
298,-0.2261
299,-0.1571
300,-0.1555
301,-0.1338
302,-0.0752
303,-0.0787
304,-0.1066
305,-0.1281
306,-0.0683
307,-0.102
308,-0.0951
309,-0.1309
310,-0.105
311,-0.1309
312,-0.1461
313,-0.1574
314,-0.0668
315,-0.1432
316,-0.0969
317,-0.1039
318,-0.147
319,-0.222
320,-0.273
321,-0.2877
322,-0.1997
323,-0.1598
324,-0.1106
325,-0.1995
326,-0.2692
327,-0.2267
328,-0.2537
329,-0.2128
330,-0.2159
331,-0.25
332,-0.2132
333,-0.179
334,-0.2421
335,-0.307
336,-0.2436
337,-0.2388
338,-0.2809
339,-0.3384
340,-0.2468
341,-0.1925
342,-0.2062
343,-0.2116
344,-0.2519
345,-0.2317
346,-0.1844
347,-0.2193
348,-0.1619
349,-0.1519
350,-0.2371
351,-0.2376
352,-0.2886
353,-0.2147
354,-0.2684
355,-0.254
356,-0.2321
357,-0.2833
358,-0.2069
359,-0.334
360,-0.2547
361,-0.1878
362,-0.2598
363,-0.2275
364,-0.2223
365,-0.2481
366,-0.2402
367,-0.2494
368,-0.231
369,-0.2845
370,-0.2009
371,-0.2462
372,-0.2938
373,-0.2807
374,-0.3608
375,-0.2199
376,-0.2689
377,-0.1468
378,-0.2329
379,-0.185
380,-0.1759
381,-0.2523
382,-0.1843
383,-0.1979
384,-0.1734
385,-0.151
386,-0.1402
387,-0.2375
388,-0.2479
389,-0.2589
390,-0.3366
391,-0.2746
