"ky before 2015","T anomaly"
6.27,-0.355
6.29,0.015
6.31,-0.34
6.33,-0.615
6.351,0.135
6.371,-0.095
6.391,-0.65
6.411,-0.775
6.432,-0.19
6.453,-0.685
6.474,-0.38
6.495,-0.235
6.514,0.395
6.533,-0.07
6.552,-0.89
6.574,-0.67
6.596,0.405
6.615,-0.24
6.635,-0.635
6.655,-0.355
6.677,-1.135
6.698,-0.11
6.719,-0.75
6.74,-1
6.76,0.3
6.78,0.115
6.8,-0.14
6.82,-0.735
6.84,-0.655
6.862,-0.6
6.883,-0.535
6.903,-0.295
6.923,0.375
6.942,-0.125
6.96,0.495
6.978,-0.365
6.998,-0.4
7.018,-0.615
7.039,-0.245
7.059,-0.145
7.078,-0.72
7.099,-0.47
7.121,-0.33
7.141,-0.555
7.162,-0.58
7.183,-0.195
7.204,-0.955
7.225,-1.5
7.248,-0.66
7.271,-0.465
7.293,-0.91
7.314,-0.78
7.335,-0.715
7.357,-0.2
7.376,0.44
7.395,-0.405
7.414,-1.05
7.436,-0.52
7.457,-0.92
7.479,-0.845
7.501,-0.12
7.522,-0.765
7.543,-0.885
7.563,-0.465
7.584,0.015
7.604,-0.465
7.622,0.35
7.641,-0.355
7.66,0.415
7.679,-0.57
7.698,-0.855
7.72,-0.41
7.741,-0.23
7.76,0.215
7.779,-0.94
7.798,-0.57
7.818,0.395
7.838,0.235
7.857,-1.015
7.877,-0.52
7.898,-0.735
7.919,-0.745
7.939,-0.17
7.959,0.13
7.978,-0.28
7.998,-0.53
8.018,-0.62
8.039,-0.705
8.06,-0.625
8.081,-1.095
8.103,-0.435
8.125,-1.545
8.148,-0.565
8.169,-0.325
8.189,-0.7
8.21,-1.02
8.233,-1.27
8.256,-1.125
8.278,-0.655
8.3,-0.855
8.321,-0.385
8.342,-0.675
8.363,-0.715
8.384,-0.63
8.405,-0.62
8.426,-1.2
8.448,-0.845
8.47,-0.945
8.492,-0.7
8.513,-0.37
8.533,-0.35
8.553,-0.425
8.573,-1.395
8.594,-0.37
8.615,0.19
8.635,-0.405
8.654,-0.77
8.674,0.01
8.694,-0.61
8.713,-0.565
8.733,-0.35
8.753,-0.8
8.774,-0.775
8.795,-0.42
8.815,-0.645
8.835,-0.22
8.855,-1
8.876,-0.81
8.898,-0.465
8.917,-0.095
8.937,-0.45
8.956,-0.43
8.976,-0.43
8.996,-0.565
9.015,0.025
9.034,-0.05
9.053,-0.745
9.073,-0.335
9.092,-0.47
9.112,-0.295
9.131,-0.545
9.151,-0.245
9.17,-0.245
9.191,-1.28
9.212,-0.95
9.233,-0.03
9.252,-0.71
9.272,0.055
9.289,0.27
9.307,-0.255
9.327,-0.495
9.346,-0.785
9.366,-0.02
9.384,-0.14
9.403,-0.225
9.422,-0.285
9.441,-0.07
9.459,-0.165
9.477,0.12
9.495,0.18
9.512,0.24
9.529,-0.24
9.549,-1.01
9.569,-0.165
9.588,-0.555
9.607,0.02
9.626,-0.375
9.643,0.395
9.661,-0.05
9.679,-0.58
9.698,-0.04
9.717,-0.19
9.734,0.555
9.751,-0.02
9.769,0.005
9.786,0.225
9.803,-0.035
9.82,0.665
9.837,0.31
9.854,-1.2
9.874,-0.065
9.893,-0.1
9.912,-0.785
9.931,0.34
9.949,-0.305
9.967,0.075
9.985,-0.325
10.004,-0.485
10.022,0.175
10.041,-0.18
10.059,-0.375
10.077,0.13
10.094,0.16
10.112,-0.1
10.13,0.145
10.148,-0.59
10.166,0.01
10.182,0.695
10.199,0.215
10.216,-0.01
10.234,-0.235
10.252,0.19
10.27,-0.1
10.287,-0.54
10.306,-0.69
10.324,0.305
10.343,-0.035
10.36,-0.075
10.378,0.06
10.396,-0.88
10.415,0.13
10.434,-0.635
10.453,-0.235
10.472,-0.355
10.491,-0.765
10.51,0.155
10.527,0.265
10.544,0.58
10.56,0.205
10.576,-0.01
10.592,1.06
10.608,-0.615
10.627,-0.06
10.645,-0.275
10.664,-0.44
10.683,-0.32
10.702,-0.255
10.72,-0.135
10.738,0.43
10.756,-0.385
10.773,-0.42
10.792,-0.505
10.811,-0.54
10.831,-0.48
10.849,-0.175
10.868,-0.11
10.886,0.125
10.903,-0.255
10.921,-0.68
10.94,-0.4
10.96,-0.165
10.978,0.14
10.996,-0.48
11.014,-0.905
11.034,-0.33
11.054,-0.06
11.071,-0.135
11.089,0.15
11.107,-0.04
11.125,-0.725
11.144,-0.57
11.163,-0.235
11.182,-0.705
11.201,-0.81
11.222,-0.465
11.24,0.185
11.257,0.265
11.274,0.09
11.293,-0.145
11.311,-1.075
11.33,-0.305
11.348,-0.16
11.367,-0.475
11.384,0.645
11.401,0.555
11.419,-0.885
11.438,-0.39
11.457,-0.795
11.476,-0.385
11.495,-0.185
11.513,0.21
11.53,0.07
11.547,0.395
11.564,0.14
11.581,-0.365
11.6,-0.665
11.619,-0.46
11.638,-0.58
11.658,-0.575
11.677,-0.095
11.696,-0.525
11.714,0.005
11.732,-0.53
11.751,0.035
11.769,-0.645
11.788,-0.25
11.807,-0.44
11.825,0.035
11.844,-0.65
11.863,-1.24
11.885,-0.925
11.906,-1.045
11.928,-0.93
11.949,-1.055
11.97,-0.92
11.992,-1.39
12.014,-1.32
12.037,-0.845
12.058,-0.995
12.079,-0.98
12.102,-1.51
12.124,-1.285
12.147,-1.455
12.171,-2.22
12.196,-1.515
12.221,-1.485
12.246,-1.905
12.27,-1.315
12.292,-1.06
12.315,-1.805
12.338,-1.115
12.362,-2.115
12.389,-2.2
12.415,-1.745
12.441,-2.455
12.467,-1.585
12.492,-1.38
12.517,-2.05
12.542,-2.07
12.568,-1.93
12.595,-2.75
12.624,-2.455
12.653,-2.585
12.682,-2.325
12.711,-2.575
12.738,-1.94
12.765,-2.175
12.792,-2.095
12.819,-2.64
12.849,-2.765
12.878,-2.05
12.906,-2.37
12.932,-1.78
12.959,-2.205
12.987,-2.41
13.015,-2.52
13.043,-2.29
13.07,-1.925
13.097,-2.025
13.124,-2.305
13.152,-2.585
13.18,-2.35
13.208,-2.135
13.235,-1.735
13.261,-1.97
13.287,-2.3
13.314,-1.8
13.34,-1.785
13.365,-2.06
13.392,-2.14
13.419,-2.655
13.448,-2.53
13.477,-2.245
13.505,-2.46
13.533,-1.985
13.56,-1.38
13.585,-2.23
13.611,-1.94
13.637,-2.415
13.665,-2.49
13.694,-2.53
13.723,-2.515
13.752,-2.09
13.78,-2.39
13.807,-2.215
13.835,-1.53
13.861,-2.535
